Sample DMT-915-170206-MOSAIC.  Wed Feb 08 10:34:38 PST 2017

Apparent R'max,,,,,,Apparent R'min,,,,,,Apparent R'bi,,,,,,Apparent anisotropy (R'bi/R'max),
mean:,6.674,,,,,mean:,4.475,,,,,mean:,2.198,,,,,mean:,0.315
mode:,6.650,,,,,mode:,4.050,,,,,mode:,0.350,,,,,mode:,0.240
s.d.:,1.408,,,,,s.d.:,1.253,,,,,s.d.:,1.459,,,,,s.d.:,0.173

Apparent R'max, frequency (whole), frequency (binder excl), frequency %, cumulative probability, _,Apparent R'min, frequency (whole), frequency (binder excl), frequency %, cumulative probability, _,Apparent R'bi, frequency (whole), frequency (binder excl), frequency %, cumulative probability, _,Apparent anisotropy (R'bi/R'max), frequency (whole), frequency (binder excl), frequency %, cumulative probability, _,
2.200, 94073308, 0, 0.0, 0.0,,2.200, 79386639, 5662962, 0.5981217707564648, 2.3238371776476576 ,,2.200, 24026058, 23370414, 2.4683819863576244, 59.458991711514464 ,,0.086, 161466307, 7046198, 0.7442190889519167, 9.242270767353386 ,,
2.300, 82444272, 0, 0.0, 0.0,,2.300, 71509482, 6805950, 0.7188441076736806, 3.0426812853213385 ,,2.300, 23118034, 22602569, 2.3872822349234064, 61.84627394643787 ,,0.090, 160137857, 7009893, 0.7403845566233618, 9.982655323976747 ,,
2.400, 72288906, 0, 0.0, 0.0,,2.400, 65690244, 8057595, 0.8510427916412713, 3.8937240769626094 ,,2.400, 22189154, 21775606, 2.2999384432137573, 64.14621238965162 ,,0.094, 156725206, 6975553, 0.7367575674989277, 10.719412891475676 ,,
2.500, 63683396, 0, 0.0, 0.0,,2.500, 60511307, 9411777, 0.9940714285571699, 4.8877955055197795 ,,2.500, 21278780, 20938067, 2.211477614900148, 66.35769000455177 ,,0.098, 151513454, 6939905, 0.7329924274783155, 11.452405318953991 ,,
2.600, 56774576, 0, 0.0, 0.0,,2.600, 56159964, 10852402, 1.1462301709248623, 6.034025676444641 ,,2.600, 20355371, 20065501, 2.1193172365556254, 68.4770072411074 ,,0.102, 144872908, 6917817, 0.7306594939960646, 12.183064812950056 ,,
2.700, 50477976, 0, 0.0, 0.0,,2.700, 52828823, 12365183, 1.3060100264998662, 7.340035702944508 ,,2.700, 19455642, 19201378, 2.02804860745914, 70.50505584856654 ,,0.105, 137099054, 6904294, 0.7292311953958979, 12.912296008345953 ,,
2.800, 45103089, 0, 0.0, 0.0,,2.800, 50246216, 13954086, 1.4738298840091095, 8.813865586953618 ,,2.800, 18555762, 18329999, 1.9360135999966996, 72.44106944856324 ,,0.109, 128519330, 6896718, 0.7284310186455568, 13.64072702699151 ,,
2.900, 40697732, 0, 0.0, 0.0,,2.900, 47950928, 15578531, 1.645403685828102, 10.45926927278172 ,,2.900, 17664195, 17460922, 1.8442217296619368, 74.28529117822518 ,,0.113, 119448547, 6885886, 0.7272869433340872, 14.368013970325597 ,,
3.000, 37005658, 0, 0.0, 0.0,,3.000, 46221738, 17256747, 1.822656778049422, 12.281926050831142 ,,3.000, 16796040, 16612152, 1.754574683676326, 76.0398658619015 ,,0.117, 110122290, 6895845, 0.7283388124281535, 15.096352782753751 ,,
3.100, 33666031, 0, 0.0, 0.0,,3.100, 44803303, 18920728, 1.9984063702637285, 14.28033242109487 ,,3.100, 15934395, 15768078, 1.6654236289815814, 77.70528949088309 ,,0.121, 100843330, 6899483, 0.7287230578106431, 15.825075840564393 ,,
3.200, 30844161, 0, 0.0, 0.0,,3.200, 43659125, 20607312, 2.176543290237679, 16.45687571133255 ,,3.200, 15093884, 14942443, 1.578220100567135, 79.28350959145023 ,,0.125, 91805995, 6911861, 0.7300304215666781, 16.555106262131073 ,,
3.300, 28550827, 0, 0.0, 0.0,,3.300, 42874292, 22272854, 2.3524577551959927, 18.809333466528543 ,,3.300, 14275886, 14138276, 1.4932840212651914, 80.77679361271541 ,,0.129, 83126343, 6927555, 0.7316880210809142, 17.286794283211986 ,,
3.400, 26458857, 0, 0.0, 0.0,,3.400, 42202200, 23923284, 2.526776091449987, 21.336109557978528 ,,3.400, 13471187, 13345699, 1.4095720771977323, 82.18636568991315 ,,0.133, 74923864, 6943828, 0.733406774546899, 18.020201057758886 ,,
3.500, 24707899, 0, 0.0, 0.0,,3.500, 41720674, 25569728, 2.7006734265780272, 24.036782984556556 ,,3.500, 12694363, 12580671, 1.328769857166063, 83.51513554707921 ,,0.137, 67320255, 6957497, 0.7348504936599417, 18.755051551418827 ,,
3.600, 23404167, 0, 0.0, 0.0,,3.600, 41237771, 27304476, 2.8838974258872643, 26.920680410443822 ,,3.600, 11927769, 11824705, 1.248924765132228, 84.76406031221144 ,,0.141, 60355450, 6979140, 0.7371364262639057, 19.492187977682732 ,,
3.700, 22375540, 0, 0.0, 0.0,,3.700, 40661902, 29348674, 3.099805519131899, 30.02048592957572 ,,3.700, 11200724, 11107932, 1.1732192358460325, 85.93727954805746 ,,0.145, 54044041, 7003765, 0.7397373175623678, 20.2319252952451 ,,
3.800, 21501300, 0, 0.0, 0.0,,3.800, 40094088, 31822974, 3.3611409646783676, 33.38162689425409 ,,3.800, 10496034, 10412562, 1.0997742903755114, 87.03705383843298 ,,0.148, 48424231, 7026586, 0.7421476704688532, 20.974072965713955 ,,
3.900, 20733942, 0, 0.0, 0.0,,3.900, 39532229, 33582532, 3.546985394979808, 36.9286122892339 ,,3.900, 9827105, 9752089, 1.0300151643422466, 88.06706900277523 ,,0.152, 43406959, 7050396, 0.7446624815070819, 21.718735447221036 ,,
4.000, 20066795, 0, 0.0, 0.0,,4.000, 38955180, 33686380, 3.557953815684294, 40.48656610491819 ,,4.000, 9172939, 9104842, 0.9616529677836398, 89.02872197055886 ,,0.156, 39025406, 7072854, 0.7470344943712793, 22.465769941592313 ,,
4.100, 19545385, 13558918, 1.432093891157067, 1.432093891157067,,4.100, 38203847, 33281922, 3.5152349814140624, 44.00180108633225 ,,4.100, 8551743, 8489942, 0.8967072597867125, 89.92542923034557 ,,0.160, 35198040, 7097534, 0.7496411947670578, 23.21541113635937 ,,
4.200, 19101856, 13564212, 1.4326530438165777, 2.8647469349736445,,4.200, 37452186, 32810721, 3.4654667547330047, 47.46726784106526 ,,4.200, 7962447, 7906156, 0.8350478109516267, 90.76047704129721 ,,0.164, 31892852, 7120885, 0.7521075262476827, 23.967518662607056 ,,
4.300, 18676550, 13549081, 1.4310549065118827, 4.2958018414855275,,4.300, 36619108, 32210870, 3.402110521314868, 50.869378362380125 ,,4.300, 7400405, 7349693, 0.7762742160433583, 91.53675125734057 ,,0.168, 29053372, 7149080, 0.7550854807719524, 24.72260414337901 ,,
4.400, 18314417, 13539253, 1.4300168724473437, 5.725818713932871,,4.400, 35681933, 31506442, 3.327708870247735, 54.19708723262786 ,,4.400, 6874624, 6828449, 0.7212204501966347, 92.2579717075372 ,,0.172, 26623087, 7171993, 0.7575055507139488, 25.480109694092956 ,,
4.500, 18136338, 13627654, 1.4393537924045392, 7.16517250633741,,4.500, 34748891, 30792662, 3.2523194613958744, 57.449406694023736 ,,4.500, 6359376, 6316824, 0.667182642660567, 92.92515435019776 ,,0.176, 24561226, 7201946, 0.7606691851124395, 26.240778879205397 ,,
4.600, 17908822, 13673102, 1.4441540134225663, 8.609326519759977,,4.600, 33575898, 29844107, 3.1521331284732983, 60.60153982249703 ,,4.600, 5883258, 5844255, 0.6172699279388237, 93.5424242781366 ,,0.180, 22788105, 7220199, 0.7625970660818132, 27.00337594528721 ,,
4.700, 17853831, 13850826, 1.4629252350430524, 10.072251754803029,,4.700, 32564481, 29013426, 3.064396641692396, 63.66593646418943 ,,4.700, 5436610, 5400970, 0.570450187868214, 94.1128744660048 ,,0.184, 21298170, 7241633, 0.7648609241159751, 27.768236869403186 ,,
4.800, 17836147, 14061312, 1.4851567814521454, 11.557408536255174,,4.800, 31453990, 28061268, 2.9638297600852206, 66.62976622427465 ,,4.800, 5013169, 4980834, 0.5260754440480854, 94.63894991005289 ,,0.188, 20021882, 7268843, 0.7677348429883062, 28.53597171239149 ,,
4.900, 17885930, 14329690, 1.5135028850513375, 13.070911421306512,,4.900, 30340943, 27087602, 2.8609912045650945, 69.49075742883974 ,,4.900, 4617712, 4588438, 0.4846305976744274, 95.12358050772731 ,,0.191, 18930716, 7289687, 0.7699363852512562, 29.305908097642746 ,,
5.000, 18079005, 14695053, 1.5520925513030857, 14.623003972609597,,5.000, 29166963, 26050098, 2.751410082592721, 72.24216751143247 ,,5.000, 4241616, 4214822, 0.445169293984429, 95.56874980171175 ,,0.195, 17996580, 7312023, 0.7722955124814064, 30.078203610124152 ,,
5.100, 18417016, 15180551, 1.603370884866942, 16.22637485747654,,5.100, 27862768, 24909208, 2.630909336333371, 74.87307684776583 ,,5.100, 3899063, 3874748, 0.4092506946978018, 95.97800049640955 ,,0.199, 17195717, 7326256, 0.7737988012469297, 30.852002411371082 ,,
5.200, 18913132, 15800621, 1.66886272271785, 17.89523758019439,,5.200, 26411550, 23634200, 2.4962430534431346, 77.36931990120897 ,,5.200, 3574019, 3551539, 0.37511337588827354, 96.35311387229783 ,,0.203, 16486728, 7346272, 0.7759128901902806, 31.627915301561362 ,,
5.300, 19592169, 16591077, 1.752350742103206, 19.647588322297594,,5.300, 24859153, 22251957, 2.3502506150732976, 79.71957051628227 ,,5.300, 3274551, 3254641, 0.34375502361494176, 96.69686889591276 ,,0.207, 15883463, 7369368, 0.7783522885833479, 32.40626759014471 ,,
5.400, 20455156, 17559132, 1.8545967806000871, 21.502185102897684,,5.400, 23160859, 20715504, 2.187970524010691, 81.90754104029295 ,,5.400, 2992442, 2974311, 0.31414658269320056, 97.01101547860596 ,,0.211, 15341510, 7378274, 0.7792929398687937, 33.185560530013504 ,,
5.500, 21443847, 18646313, 1.9694249157567443, 23.471610018654427,,5.500, 21175538, 18908177, 1.9970807342547345, 83.90462177454769 ,,5.500, 2729041, 2712606, 0.286505313362682, 97.29752079196864 ,,0.215, 14862591, 7392974, 0.7808455531515305, 33.96640608316503 ,,
5.600, 22608140, 19917099, 2.1036454241754785, 25.575255442829906,,5.600, 19174655, 17042517, 1.8000298158785375, 85.70465159042622 ,,5.600, 2487077, 2472135, 0.26110677807608396, 97.55862757004473 ,,0.219, 14434557, 7404982, 0.7821138375256191, 34.748519920690654 ,,
5.700, 23874663, 21278494, 2.2474360616696925, 27.8226915044996,,5.700, 17099245, 15122362, 1.5972231382552584, 87.30187472868148 ,,5.700, 2263561, 2250351, 0.23768196281768333, 97.79630953286241 ,,0.223, 14047425, 7418100, 0.783499360045547, 35.5320192807362 ,,
5.800, 25118674, 22604894, 2.3875305247552228, 30.21022202925482,,5.800, 15111624, 13289290, 1.4036141628526166, 88.7054888915341 ,,5.800, 2061263, 2049415, 0.21645911230203754, 98.01276864516444 ,,0.227, 13694656, 7428452, 0.7845927377804376, 36.316612018516636 ,,
