Sample DMT-916-170112-MOSAIC.  Mon Jan 16 12:51:21 PST 2017

Apparent R'max,,,,,,Apparent R'min,,,,,,Apparent R'bi,,,,,,Apparent anisotropy (R'bi/R'max),
mean:,7.602,,,,,mean:,4.229,,,,,mean:,3.373,,,,,mean:,0.430
mode:,7.550,,,,,mode:,3.550,,,,,mode:,2.950,,,,,mode:,0.537
s.d.:,1.431,,,,,s.d.:,1.442,,,,,s.d.:,1.801,,,,,s.d.:,0.192

Apparent R'max, frequency (whole), frequency (binder excl), frequency %, cumulative probability, _,Apparent R'min, frequency (whole), frequency (binder excl), frequency %, cumulative probability, _,Apparent R'bi, frequency (whole), frequency (binder excl), frequency %, cumulative probability, _,Apparent anisotropy (R'bi/R'max), frequency (whole), frequency (binder excl), frequency %, cumulative probability, _,
2.100, 74844110, 0, 0.0, 0.0,,2.100, 64379180, 15456644, 1.2259057251771868, 3.7972783737856655 ,,2.100, 25076585, 23170335, 1.837698112036535, 29.307440033172817 ,,0.082, 132046426, 4450229, 0.35295896375387914, 3.6045242042574093 ,,
2.200, 62095965, 0, 0.0, 0.0,,2.200, 59181490, 18719248, 1.4846711416923106, 5.281949515477976 ,,2.200, 25198081, 23606342, 1.8722789344862196, 31.17971896765904 ,,0.086, 138531094, 4514435, 0.35805130467089297, 3.9625755089283023 ,,
2.300, 51816863, 0, 0.0, 0.0,,2.300, 55616080, 21705596, 1.721525992627057, 7.0034755081050335 ,,2.300, 25291759, 23990124, 1.9027176595557365, 33.082436627214776 ,,0.090, 142813998, 4567972, 0.36229746010300473, 4.324872969031307 ,,
2.400, 43465470, 0, 0.0, 0.0,,2.400, 52849440, 24286520, 1.9262256355668312, 8.929701143671865 ,,2.400, 25380339, 24343802, 1.93076875993339, 35.01320538714816 ,,0.094, 144912352, 4616113, 0.36611564507148064, 4.690988614102787 ,,
2.500, 37013884, 0, 0.0, 0.0,,2.500, 50931906, 26638059, 2.112732171078514, 11.042433314750378 ,,2.500, 25433846, 24635234, 1.953882971971629, 36.96708835911979 ,,0.098, 144897960, 4655879, 0.36926958752087746, 5.0602582016236655 ,,
2.600, 31710953, 0, 0.0, 0.0,,2.600, 49276857, 28576165, 2.2664482844469953, 13.308881599197374 ,,2.600, 25471027, 24875805, 1.972963268933703, 38.940051628053496 ,,0.102, 143009715, 4686279, 0.37168068872446, 5.431938890348125 ,,
2.700, 27352640, 0, 0.0, 0.0,,2.700, 48034325, 30256158, 2.3996927996831356, 15.70857439888051 ,,2.700, 25484996, 25054313, 1.9871211917511082, 40.9271728198046 ,,0.105, 139437764, 4723416, 0.3746261185072707, 5.8065650088553955 ,,
2.800, 23935311, 0, 0.0, 0.0,,2.800, 47034510, 31660470, 2.5110723540505018, 18.219646752931013 ,,2.800, 25458973, 25147461, 1.9945089961889801, 42.92168181599359 ,,0.109, 134480652, 4757347, 0.37731727228815093, 6.183882281143546 ,,
2.900, 21053795, 0, 0.0, 0.0,,2.900, 46112636, 32794567, 2.601020469903223, 20.820667222834235 ,,2.900, 25407129, 25172538, 1.9964979167443169, 44.918179732737904 ,,0.113, 128401030, 4786724, 0.3796472367637313, 6.563529517907278 ,,
3.000, 18667102, 0, 0.0, 0.0,,3.000, 45275359, 33723445, 2.6746921452158676, 23.495359368050103 ,,3.000, 25324144, 25133194, 1.9933774441866277, 46.91155717692453 ,,0.117, 121506825, 4812257, 0.3816723238371219, 6.9452018417443995 ,,
