Sample DMT-917-170109-MOSAIC.  Wed Jan 11 14:56:24 PST 2017

Apparent R'max,,,,,,Apparent R'min,,,,,,Apparent R'bi,,,,,,Apparent anisotropy (R'bi/R'max),
mean:,8.263,,,,,mean:,4.140,,,,,mean:,4.123,,,,,mean:,0.482
mode:,7.950,,,,,mode:,2.250,,,,,mode:,3.150,,,,,mode:,0.650
s.d.:,1.975,,,,,s.d.:,1.900,,,,,s.d.:,2.325,,,,,s.d.:,0.219

Apparent R'max, frequency (whole), frequency (binder excl), frequency %, cumulative probability, _,Apparent R'min, frequency (whole), frequency (binder excl), frequency %, cumulative probability, _,Apparent R'bi, frequency (whole), frequency (binder excl), frequency %, cumulative probability, _,Apparent anisotropy (R'bi/R'max), frequency (whole), frequency (binder excl), frequency %, cumulative probability, _,
2.100, 43127450, 0, 0.0, 0.0,,2.100, 53990675, 28287883, 2.519799447470223, 12.967701058743172 ,,2.100, 18100493, 15527076, 1.3831051806042949, 23.686989346284314 ,,0.082, 115592565, 3852246, 0.34319586058028956, 3.580301066875676 ,,
2.200, 36045246, 0, 0.0, 0.0,,2.200, 49752437, 28755860, 2.5614854296283354, 15.529186488371508 ,,2.200, 18040114, 15881337, 1.4146616838626067, 25.10165103014692 ,,0.086, 122335181, 3902576, 0.3476797506701244, 3.9279808175458 ,,
2.300, 30390895, 0, 0.0, 0.0,,2.300, 46134264, 28742345, 2.560281554119781, 18.089468042491287 ,,2.300, 17990188, 16213894, 1.4442848601480982, 26.545935890295016 ,,0.090, 126710681, 3936768, 0.3507259094213987, 4.278706726967199 ,,
2.400, 25792720, 0, 0.0, 0.0,,2.400, 43005662, 28515999, 2.5401193339304124, 20.6295873764217 ,,2.400, 17958965, 16526531, 1.472133622809438, 28.018069513104457 ,,0.094, 128679566, 3970901, 0.35376681187393855, 4.632473538841137 ,,
2.500, 22232501, 0, 0.0, 0.0,,2.500, 40331284, 28226135, 2.5142991215433095, 23.14388649796501 ,,2.500, 17945213, 16817595, 1.4980607275835376, 29.516130240687993 ,,0.098, 128271760, 3992873, 0.35572429315853726, 4.988197831999675 ,,
2.600, 19403294, 0, 0.0, 0.0,,2.600, 37846763, 27771203, 2.4737751487088446, 25.617661646673856 ,,2.600, 17938196, 17070904, 1.5206247306317415, 31.036754971319734 ,,0.102, 125677307, 4010590, 0.3573026973055987, 5.345500529305274 ,,
2.700, 17192555, 0, 0.0, 0.0,,2.700, 36064058, 27540614, 2.4532349748544524, 28.070896621528306 ,,2.700, 17922928, 17262170, 1.5376621300412285, 32.574417101360964 ,,0.105, 121249784, 4018533, 0.35801033765893786, 5.703510866964211 ,,
2.800, 15173370, 0, 0.0, 0.0,,2.800, 34186985, 26997813, 2.404883896059115, 30.47578051758742 ,,2.800, 17920925, 17415345, 1.5513064978564606, 34.12572359921742 ,,0.109, 115253494, 4024862, 0.3585741870604591, 6.062085054024671 ,,
2.900, 13635374, 0, 0.0, 0.0,,2.900, 32645712, 26535365, 2.3636904205740916, 32.83947093816151 ,,2.900, 17902275, 17505873, 1.5593704595315208, 35.685094058748945 ,,0.113, 108234209, 4030347, 0.3590628446631363, 6.421147898687807 ,,
3.000, 12446755, 0, 0.0, 0.0,,3.000, 31244547, 26063368, 2.321646348919539, 35.161117287081055 ,,3.000, 17891497, 17568195, 1.5649219156502143, 37.25001597439916 ,,0.117, 100496128, 4028362, 0.3588860013921583, 6.780033900079965 ,,
3.100, 11399426, 0, 0.0, 0.0,,3.100, 29947836, 25600449, 2.280410918172619, 37.44152820525367 ,,3.100, 17867906, 17593292, 1.5671574808472692, 38.817173455246426 ,,0.121, 92453638, 4032402, 0.3592459242207483, 7.139279824300713 ,,
3.200, 10527901, 0, 0.0, 0.0,,3.200, 28784841, 25117138, 2.237359029462662, 39.678887234716335 ,,3.200, 17813703, 17572863, 1.565337727035633, 40.38251118228206 ,,0.125, 84460402, 4027829, 0.358838516523931, 7.498118340824645 ,,
3.300, 9760079, 0, 0.0, 0.0,,3.300, 27674920, 24602404, 2.1915080745221975, 41.87039530923853 ,,3.300, 17789947, 17571414, 1.5652086544783341, 41.9477198367604 ,,0.129, 76718273, 4023186, 0.3584248725404797, 7.856543213365124 ,,
3.400, 9068782, 0, 0.0, 0.0,,3.400, 26636448, 24084567, 2.1453807136843563, 44.015776022922886 ,,3.400, 17722472, 17524394, 1.5610202544478315, 43.508740091208224 ,,0.133, 69456442, 4020599, 0.35819439720444946, 8.214737610569573 ,,
3.500, 8503494, 0, 0.0, 0.0,,3.500, 25693837, 23577307, 2.100195520160905, 46.115971543083795 ,,3.500, 17657977, 17477472, 1.5568405839622672, 45.065580675170494 ,,0.137, 62821100, 4021640, 0.3582871396956777, 8.573024750265251 ,,
3.600, 8051962, 0, 0.0, 0.0,,3.600, 24839474, 23101155, 2.057781333616375, 48.17375287670016 ,,3.600, 17573068, 17407961, 1.5506487533684719, 46.616229428538965 ,,0.141, 56837169, 4023099, 0.3584171217270918, 8.931441871992343 ,,
3.700, 7668105, 0, 0.0, 0.0,,3.700, 24022737, 22598445, 2.013001440393621, 50.186754317093786 ,,3.700, 17475700, 17326351, 1.5433791802827785, 48.15960860882174 ,,0.145, 51537341, 4021038, 0.35823350763062545, 9.289675379622969 ,,
3.800, 7331508, 0, 0.0, 0.0,,3.800, 23209035, 22055977, 1.9646800242356752, 52.15143434132946 ,,3.800, 17362489, 17225078, 1.5343580863591486, 49.69396669518089 ,,0.148, 46903413, 4020041, 0.3581446850909957, 9.647820064713963 ,,
3.900, 7088067, 0, 0.0, 0.0,,3.900, 22532287, 21602214, 1.9242601824015433, 54.07569452373101 ,,3.900, 17244704, 17117535, 1.5247784797134591, 51.21874517489435 ,,0.152, 42895014, 4018251, 0.3579852143327838, 10.005805279046749 ,,
4.000, 6897396, 0, 0.0, 0.0,,4.000, 21842506, 21082972, 1.8780076683939262, 55.95370219212493 ,,4.000, 17098370, 16981273, 1.5126406710159617, 52.73138584591032 ,,0.156, 39440493, 4021536, 0.3582778743555358, 10.364083153402284 ,,
4.100, 6752149, 0, 0.0, 0.0,,4.100, 21190638, 20532613, 1.8289833457144855, 57.78268553783942 ,,4.100, 16945868, 16836868, 1.4997775083957, 54.23116335430601 ,,0.160, 36490224, 4027610, 0.35881900585574755, 10.722902159258032 ,,
4.200, 6661501, 0, 0.0, 0.0,,4.200, 20612035, 20005469, 1.7820269453384927, 59.564712483177914 ,,4.200, 16774902, 16673973, 1.4852673122457916, 55.71643066655181 ,,0.164, 33922848, 4028625, 0.3589094320119403, 11.081811591269972 ,,
4.300, 6650776, 5444614, 0.4849898222814567, 0.4849898222814567,,4.300, 20154476, 19587113, 1.7447610524596988, 61.30947353563761 ,,4.300, 16585939, 16492528, 1.4691047379468865, 57.185535404498694 ,,0.168, 31733966, 4033827, 0.3593728771986544, 11.441184468468625 ,,
4.400, 6669099, 5559083, 0.49518637615409783, 0.9801761984355546,,4.400, 19755215, 19225040, 1.7125086797620357, 63.021982215399646 ,,4.400, 16374571, 16287018, 1.450798525903744, 58.63633393040244 ,,0.172, 29852535, 4042544, 0.3601494730642036, 11.80133394153283 ,,
4.500, 6733341, 5705287, 0.508209788277866, 1.4883859867134206,,4.500, 19449946, 18955978, 1.6885414469035276, 64.71052366230317 ,,4.500, 16162029, 16080872, 1.432435660895493, 60.06876959129793 ,,0.176, 28191953, 4045224, 0.36038823375247614, 12.161722175285306 ,,
4.600, 6851965, 5891376, 0.5247860361144498, 2.0131720228278707,,4.600, 19251534, 18789727, 1.673732308377984, 66.38425597068115 ,,4.600, 15932553, 15856218, 1.4124241589717903, 61.48119375026972 ,,0.180, 26751696, 4055030, 0.3612618484200883, 12.522984023705394 ,,
4.700, 7013995, 6117571, 0.5449348056784546, 2.558106828506325,,4.700, 19282914, 18842700, 1.6784509837249812, 68.06270695440614 ,,4.700, 15697644, 15625846, 1.3919033148240465, 62.873097065093766 ,,0.184, 25459852, 4071717, 0.36274849006382115, 12.885732513769215 ,,
4.800, 7237303, 6399409, 0.570040086150525, 3.12814691465685,,4.800, 19592315, 19166865, 1.7073266259174062, 69.77003358032354 ,,4.800, 15446931, 15379651, 1.3699730054767572, 64.24307007057052 ,,0.188, 24315952, 4085146, 0.36394487710964657, 13.249677390878862 ,,
4.900, 7552522, 6764013, 0.6025179127077628, 3.730664827364613,,4.900, 20192787, 19776941, 1.7616703591587677, 71.53170393948231 ,,4.900, 15192946, 15128970, 1.3476430967560769, 65.5907131673266 ,,0.191, 23247747, 4092069, 0.36456164585774764, 13.61423903673661 ,,
5.000, 7994477, 7251703, 0.6459598695532698, 4.376624696917883,,5.000, 20976167, 20571380, 1.8324365933534155, 73.36414053283573 ,,5.000, 14926079, 14865761, 1.324197231515147, 66.91491039884174 ,,0.195, 22290186, 4108267, 0.36600472258485167, 13.98024375932146 ,,
5.100, 8651223, 7936791, 0.706985445905819, 5.0836101428237015,,5.100, 21407235, 21021142, 1.8725000381539014, 75.23664057098964 ,,5.100, 14651425, 14594373, 1.3000228055798428, 68.21493320442158 ,,0.199, 21421398, 4123979, 0.367404501664754, 14.347648260986215 ,,
