Sample DMT-913-170106-MOSAIC.  Mon Jan 09 15:27:02 PST 2017

Apparent R'max,,,,,,Apparent R'min,,,,,,Apparent R'bi,,,,,,Apparent anisotropy (R'bi/R'max),
mean:,7.717,,,,,mean:,4.467,,,,,mean:,3.250,,,,,mean:,0.394
mode:,6.450,,,,,mode:,5.450,,,,,mode:,0.750,,,,,mode:,0.150
s.d.:,1.788,,,,,s.d.:,1.539,,,,,s.d.:,2.272,,,,,s.d.:,0.217

Apparent R'max, frequency (whole), frequency (binder excl), frequency %, cumulative probability, _,Apparent R'min, frequency (whole), frequency (binder excl), frequency %, cumulative probability, _,Apparent R'bi, frequency (whole), frequency (binder excl), frequency %, cumulative probability, _,Apparent anisotropy (R'bi/R'max), frequency (whole), frequency (binder excl), frequency %, cumulative probability, _,
2.100, 62831501, 0, 0.0, 0.0,,2.100, 60036551, 17754588, 1.3089493662808476, 5.751033197504463 ,,2.100, 26975993, 24515021, 1.8073593823924088, 41.16383094004161 ,,0.082, 113430863, 7552993, 0.5568411613310136, 5.39603656475624 ,,
2.200, 53452216, 0, 0.0, 0.0,,2.200, 54662580, 18999623, 1.4007390363226122, 7.151772233827076 ,,2.200, 26015154, 23972522, 1.7673638768781161, 42.93119481691973 ,,0.086, 116127802, 7756050, 0.5718114513466923, 5.967848016102932 ,,
2.300, 45942396, 0, 0.0, 0.0,,2.300, 50106720, 19916508, 1.4683359887104916, 8.620108222537567 ,,2.300, 25142791, 23457511, 1.729394912344686, 44.660589729264416 ,,0.090, 116899790, 7929757, 0.5846179252321212, 6.552465941335053 ,,
2.400, 39870290, 0, 0.0, 0.0,,2.400, 46309527, 20687032, 1.5251425393048612, 10.145250761842428 ,,2.400, 24312398, 22937598, 1.6910645499689905, 46.35165427923341 ,,0.094, 115922358, 8083261, 0.5959349416293237, 7.148400882964377 ,,
2.500, 34685627, 0, 0.0, 0.0,,2.500, 43298316, 21378232, 1.5761009621065236, 11.721351723948953 ,,2.500, 23545675, 22432900, 1.6538559069262337, 48.00551018615964 ,,0.098, 113319150, 8216082, 0.6057271127446877, 7.754127995709065 ,,
2.600, 30342150, 0, 0.0, 0.0,,2.600, 40801742, 21991376, 1.6213047398702713, 13.342656463819223 ,,2.600, 22825601, 21935479, 1.617183757579553, 49.62269394373919 ,,0.102, 109476364, 8330161, 0.6141375379686328, 8.368265533677699 ,,
2.700, 26930596, 0, 0.0, 0.0,,2.700, 39068395, 22772921, 1.6789238089508924, 15.021580272770116 ,,2.700, 22151102, 21443805, 1.5809353033368092, 51.203629247076 ,,0.105, 104617058, 8424374, 0.6210833508844502, 8.989348884562148 ,,
2.800, 23747904, 0, 0.0, 0.0,,2.800, 37405056, 23327697, 1.7198244310113888, 16.741404703781505 ,,2.800, 21522253, 20959244, 1.5452112519606571, 52.74884049903666 ,,0.109, 99048714, 8504244, 0.6269717322923911, 9.616320616854539 ,,
2.900, 21155834, 0, 0.0, 0.0,,2.900, 36198081, 23931628, 1.7643489843114912, 18.505753688092994 ,,2.900, 20914643, 20461338, 1.508503346197514, 54.257343845234175 ,,0.113, 93098454, 8577447, 0.6323685919919717, 10.24868920884651 ,,
3.000, 19036627, 0, 0.0, 0.0,,3.000, 35330675, 24584374, 1.8124724024973908, 20.318226090590386 ,,3.000, 20342605, 19968239, 1.4721498344424837, 55.72949367967666 ,,0.117, 86965339, 8633130, 0.6364737972247047, 10.885163006071215 ,,
3.100, 17260458, 0, 0.0, 0.0,,3.100, 34711764, 25265247, 1.8626694716643994, 22.180895562254786 ,,3.100, 19818498, 19497681, 1.4374581482203994, 57.16695182789706 ,,0.121, 80837793, 8681446, 0.6400358735500592, 11.525198879621275 ,,
3.200, 15795425, 0, 0.0, 0.0,,3.200, 34279433, 25989943, 1.9160973726636379, 24.096992934918426 ,,3.200, 19303105, 19017480, 1.4020555359695586, 58.56900736386662 ,,0.125, 74974166, 8723854, 0.6431623851157029, 12.168361264736978 ,,
3.300, 14552744, 0, 0.0, 0.0,,3.300, 33915846, 26678204, 1.966839118953995, 26.063832053872417 ,,3.300, 18822392, 18562271, 1.3684954481727964, 59.93750281203941 ,,0.129, 69348872, 8743865, 0.6446376874864843, 12.812998952223461 ,,
3.400, 13526745, 0, 0.0, 0.0,,3.400, 33701328, 27411394, 2.0208932364510304, 28.084725290323448 ,,3.400, 18345750, 18106331, 1.3348814677153458, 61.27238427975476 ,,0.133, 64160591, 8768447, 0.6464499848668525, 13.459448937090315 ,,
3.500, 12666434, 0, 0.0, 0.0,,3.500, 33559593, 28152509, 2.0755316211655184, 30.16025691148897 ,,3.500, 17892659, 17670535, 1.3027525949964898, 62.575136874751244 ,,0.137, 59416374, 8786559, 0.6477852842791553, 14.107234221369469 ,,
3.600, 11955400, 0, 0.0, 0.0,,3.600, 33574011, 28976789, 2.1363013097461816, 32.29655822123515 ,,3.600, 17472065, 17265863, 1.272918325795109, 63.848055200546355 ,,0.141, 55128440, 8801682, 0.6489002209516517, 14.756134442321121 ,,
3.700, 11361851, 0, 0.0, 0.0,,3.700, 33562374, 29763017, 2.194265630988232, 34.49082385222338 ,,3.700, 17036045, 16843994, 1.241816215162999, 65.08987141570935 ,,0.145, 51284560, 8802007, 0.64892418143691, 15.40505862375803 ,,
3.800, 10868329, 0, 0.0, 0.0,,3.800, 33531902, 30503768, 2.248877179959231, 36.73970103218261 ,,3.800, 16629751, 16450832, 1.2128305157626125, 66.30270193147197 ,,0.148, 47860432, 8802257, 0.6489426125794163, 16.05400123633745 ,,
3.900, 10499886, 0, 0.0, 0.0,,3.900, 33622058, 31316872, 2.3088229227452883, 39.0485239549279 ,,3.900, 16228697, 16061869, 1.1841543858317631, 67.48685631730373 ,,0.152, 44834766, 8801880, 0.6489148184165168, 16.702916054753963 ,,
4.000, 10183285, 0, 0.0, 0.0,,4.000, 33669822, 32008295, 2.3597977861260664, 41.40832174105397 ,,4.000, 15845327, 15688415, 1.1566216502574402, 68.64347796756117 ,,0.156, 42171645, 8799499, 0.6487392802152859, 17.35165533496925 ,,
4.100, 9915165, 0, 0.0, 0.0,,4.100, 33686669, 32528865, 2.3981765855442685, 43.80649832659824 ,,4.100, 15455738, 15309349, 1.1286751723961337, 69.77215313995731 ,,0.160, 39790362, 8784169, 0.6476090825567942, 17.999264417526046 ,,
4.200, 9723591, 0, 0.0, 0.0,,4.200, 33731695, 32844946, 2.4214795213625155, 46.22797784796075 ,,4.200, 15082578, 14944245, 1.101758036981524, 70.87391117693883 ,,0.164, 37676574, 8778278, 0.6471747711147736, 18.64643918864082 ,,
4.300, 9627429, 0, 0.0, 0.0,,4.300, 33881479, 33097480, 2.4400974819293486, 48.6680753298901 ,,4.300, 14711370, 14580661, 1.0749529629133534, 71.94886413985218 ,,0.168, 35806995, 8765292, 0.6462173838484218, 19.29265657248924 ,,
4.400, 9609084, 7989421, 0.5890166279781257, 0.5890166279781257,,4.400, 34072910, 33354812, 2.459069172983164, 51.127144502873264 ,,4.400, 14351221, 14228006, 1.0489536246709918, 72.99781776452318 ,,0.172, 34114176, 8748135, 0.6449524914004934, 19.937609063889735 ,,
4.500, 9648308, 8203404, 0.6047924326459038, 1.1938090606240295,,4.500, 34261059, 33598802, 2.477057230823699, 53.60420173369696 ,,4.500, 13991988, 13875111, 1.0229365925318243, 74.020754357055 ,,0.176, 32605686, 8731542, 0.6437291796100594, 20.581338243499793 ,,
4.600, 9738320, 8439755, 0.6222173084960133, 1.8160263691200427,,4.600, 34463538, 33850853, 2.49563958242321, 56.09984131612017 ,,4.600, 13640973, 13530293, 0.9975150337447531, 75.01826939079976 ,,0.180, 31231097, 8708938, 0.6420627094292017, 21.223400952928994 ,,
4.700, 9894336, 8717675, 0.6427068409975151, 2.4587332101175576,,4.700, 34675669, 34102344, 2.514180648263506, 58.614021964383674 ,,4.700, 13290794, 13185737, 0.9721127907950285, 75.99038218159478 ,,0.184, 29986557, 8692544, 0.6408540688282028, 21.8642550217572 ,,
4.800, 10136035, 9060800, 0.668003584087533, 3.1267367942050908,,4.800, 34958085, 34420689, 2.5376504965082907, 61.151672460891966 ,,4.800, 12946331, 12846413, 0.9470962747956777, 76.93747845639047 ,,0.188, 28834306, 8668323, 0.639068386017614, 22.50332340777481 ,,
4.900, 10473903, 9486252, 0.6993698498540447, 3.8261066440591356,,4.900, 35243704, 34737740, 2.5610249451594624, 63.71269740605143 ,,4.900, 12616953, 12522188, 0.9231929260791427, 77.8606713824696 ,,0.191, 27773545, 8652115, 0.6378734581866398, 23.14119686596145 ,,
5.000, 10953122, 10035484, 0.7398617428983193, 4.565968386957454,,5.000, 35580524, 35105813, 2.588160968822478, 66.30085837487391 ,,5.000, 12285527, 12195475, 0.8991061506323842, 78.75977753310198 ,,0.195, 26788911, 8629332, 0.6361937913077476, 23.777390657269198 ,,
5.100, 11573368, 10714165, 0.7898972078078319, 5.3558655947652865,,5.100, 35913428, 35468620, 2.614908758899739, 68.91576713377364 ,,5.100, 11964647, 11878528, 0.8757393693364951, 79.63551690243848 ,,0.199, 25876698, 8603662, 0.6343012815951916, 24.41169193886439 ,,
5.200, 12373409, 11565569, 0.852666601625868, 6.208532196391155,,5.200, 36215233, 35799030, 2.639268094081882, 71.55503522785553 ,,5.200, 11648396, 11566622, 0.8527442335981049, 80.48826113603658 ,,0.203, 25034395, 8585615, 0.6329707742799404, 25.04466271314433 ,,
5.300, 13281252, 12522796, 0.9232377506177183, 7.1317699470088725,,5.300, 36107712, 35722915, 2.633656548434387, 74.18869177628991 ,,5.300, 11338900, 11260269, 0.8301584903970666, 81.31841962643365 ,,0.207, 24234092, 8561719, 0.6312090519546099, 25.67587176509894 ,,
5.400, 14699861, 13973364, 1.030180252710545, 8.161950199719417,,5.400, 36265149, 35907610, 2.6472731078952565, 76.83596488418517 ,,5.400, 11041716, 10966641, 0.8085108923496034, 82.12693051878325 ,,0.211, 23481025, 8537644, 0.6294341329312446, 26.305305898030184 ,,
5.500, 16215447, 15526115, 1.144656152542293, 9.30660635226171,,5.500, 35193770, 34868014, 2.5706293397949715, 79.40659422398015 ,,5.500, 10731939, 10659781, 0.7858877707915621, 82.91281828957482 ,,0.215, 22774048, 8512583, 0.6275865214818342, 26.93289241951202 ,,
5.600, 18230655, 17569153, 1.295278250638159, 10.60188460289987,,5.600, 33506939, 33212059, 2.4485447694383065, 81.85513899341845 ,,5.600, 10439224, 10370109, 0.7645318271431201, 83.67735011671793 ,,0.219, 22112226, 8487873, 0.6257647873565029, 27.55865720686852 ,,
5.700, 20752640, 20114390, 1.4829247540762882, 12.084809356976159,,5.700, 30868468, 30604782, 2.256324393675792, 84.11146338709425 ,,5.700, 10150028, 10084066, 0.7434434299593008, 84.42079354667725 ,,0.223, 21474445, 8462039, 0.6238601868144626, 28.182517393682986 ,,
5.800, 23687773, 23074209, 1.7011361372047513, 13.78594549418091,,5.800, 27452298, 27218603, 2.006679802871234, 86.11814318996548 ,,5.800, 9868340, 9805410, 0.7228996361742602, 85.1436931828515 ,,0.227, 20884516, 8442010, 0.6223835574014209, 28.804900951084406 ,,
5.900, 26919295, 26331646, 1.9412892794150793, 15.727234773595988,,5.900, 23658554, 23453356, 1.7290885867562298, 87.84723177672171 ,,5.900, 9592026, 9531687, 0.7027195256931557, 85.84641270854465 ,,0.230, 20311463, 8408825, 0.6199370075451229, 29.424837958629528 ,,
