Sample DMT-914-170111-MOSAIC.  Fri Jan 13 08:15:16 PST 2017

Apparent R'max,,,,,,Apparent R'min,,,,,,Apparent R'bi,,,,,,Apparent anisotropy (R'bi/R'max),
mean:,7.704,,,,,mean:,4.317,,,,,mean:,3.388,,,,,mean:,0.416
mode:,6.350,,,,,mode:,5.350,,,,,mode:,0.850,,,,,mode:,0.201
s.d.:,1.715,,,,,s.d.:,1.544,,,,,s.d.:,2.177,,,,,s.d.:,0.215

Apparent R'max, frequency (whole), frequency (binder excl), frequency %, cumulative probability, _,Apparent R'min, frequency (whole), frequency (binder excl), frequency %, cumulative probability, _,Apparent R'bi, frequency (whole), frequency (binder excl), frequency %, cumulative probability, _,Apparent anisotropy (R'bi/R'max), frequency (whole), frequency (binder excl), frequency %, cumulative probability, _,
2.100, 80256576, 0, 0.0, 0.0,,2.100, 74085211, 20271259, 1.5450434804214963, 6.266414691086619 ,,2.100, 26629406, 23031702, 1.7554401045396706, 36.25370058090065 ,,0.082, 147485209, 6247408, 0.4762566269131534, 4.813350038118205 ,,
2.200, 68846613, 0, 0.0, 0.0,,2.200, 67594923, 22142770, 1.6876871055208114, 7.95410179660743 ,,2.200, 25865793, 22810656, 1.7385923260581637, 37.992292906958816 ,,0.086, 152645719, 6372713, 0.4858089623193495, 5.299159000437555 ,,
2.300, 59248605, 0, 0.0, 0.0,,2.300, 62365011, 23541899, 1.7943265174941203, 9.74842831410155 ,,2.300, 25164356, 22595055, 1.722159556913319, 39.714452463872135 ,,0.090, 155111335, 6488456, 0.49463236088221096, 5.793791361319766 ,,
2.400, 51243345, 0, 0.0, 0.0,,2.400, 57919708, 24629241, 1.877202014674067, 11.625630328775618 ,,2.400, 24526104, 22382741, 1.7059773177390176, 41.42042978161115 ,,0.094, 154982894, 6587874, 0.5022112610171873, 6.296002622336953 ,,
2.500, 44715643, 0, 0.0, 0.0,,2.500, 54302785, 25543110, 1.9468556726145685, 13.572486001390185 ,,2.500, 23922186, 22156700, 1.688748828213135, 43.10917860982428 ,,0.098, 152506275, 6680210, 0.5092502813441216, 6.805252903681075 ,,
2.600, 39235122, 0, 0.0, 0.0,,2.600, 51110341, 26220057, 1.998451508321709, 15.570937509711895 ,,2.600, 23365275, 21926434, 1.6711983158318993, 44.780376925656185 ,,0.102, 147903935, 6752249, 0.5147420070560004, 7.319994910737075 ,,
2.700, 34859634, 0, 0.0, 0.0,,2.700, 48844702, 27003906, 2.0581952463443405, 17.629132756056237 ,,2.700, 22834166, 21678759, 1.6523209168497544, 46.43269784250594 ,,0.105, 141638522, 6811704, 0.5192744207791191, 7.839269331516195 ,,
2.800, 30747733, 0, 0.0, 0.0,,2.800, 46483338, 27399082, 2.08831493957203, 19.717447695628266 ,,2.800, 22325599, 21410942, 1.6319083263048828, 48.06460616881082 ,,0.109, 134117724, 6872956, 0.5239438246201495, 8.363213156136345 ,,
2.900, 27442356, 0, 0.0, 0.0,,2.900, 44589616, 27839161, 2.1218570688408835, 21.839304764469148 ,,2.900, 21854578, 21135279, 1.6108977259793957, 49.67550389479022 ,,0.113, 125747729, 6923527, 0.527798987253937, 8.891012143390281 ,,
3.000, 24747341, 0, 0.0, 0.0,,3.000, 42989424, 28220156, 2.150895908550997, 23.990200673020144 ,,3.000, 21398383, 20832084, 1.5877886799134167, 51.263292574703634 ,,0.117, 116935374, 6972708, 0.5315481864687499, 9.422560329859031 ,,
